Cell,BestBatchIdx,STRFGain,STRFLatency,OutputAdaptation,On__ROnGSYN,Off__ROnGSYN,On__SOnOffGSYN,Off__SOnOffGSYN,SOnOff__ROnGSYN
74,3,0.240775406360626,0.0399999991059303,0,0,0.000274609599728137,0.000453020067652687,0,0.114546395838261
75,5,0.242608591914177,0.0399999991059303,0,0,0.000872653617989272,6.65436816760234e-09,0,0.150311976671219
76,11,0.0502190440893173,0.00938200112432241,0.0042140856385231,0.0145995188504457,0.0362722501158714,0.000164184282766655,0.0493650995194912,0.190903976559639
77,8,0.432363301515579,0.0257373005151749,0.000376415264327079,0.00217461260035634,0.00172273616772145,0,0,0.13949579000473
78,15,0.31138613820076,0.0399999991059303,0,0.0023531096521765,0.000561618362553418,0,0,0.197043195366859
79,2,0.0468918047845364,0.00993280578404665,0.00720301177352667,0.0240576900541782,0.014043066650629,0.00838953070342541,0.00131315446924418,0.218440636992455
80,8,0.00589490495622158,0.00537323206663132,0.00471032783389091,0.0526251159608364,0.0879898965358734,0.249499887228012,0.221472084522247,0.0681244879961014
81,5,9.99999974737875e-05,9.99999974737875e-05,0.0577490329742432,0,0.0445714853703976,0.112856797873974,0.0914506614208221,0.102350056171417
82,7,0.0385727174580097,0.0209354571998119,0.003043512115255,0,0,0.0112175242975354,0,0.0748411044478416
83,13,0.360530972480774,0.0256270784884691,0.000197270070202649,0,0,1.37962077317866e-08,0,0.21771776676178
84,5,0.0105931265279651,0.0143847586587071,0.011067483574152,0.0366012454032898,0.0268682390451431,0.163349986076355,0.361375153064728,0.149363309144974
85,9,0.0156473275274038,0.0399999991059303,0.0175228975713253,0.0436963029205799,0,0.000229873621719889,4.28407066765946e-11,0.130114749073982
86,1,0.333854079246521,0.0304774381220341,0.0023015346378088,0.000131174150737934,0.00243599666282535,0,0,0.24488876760006
87,8,0.0021831167396158,0.0157907586544752,0.0116143263876438,0.0596613958477974,0.0203740447759628,0.24458621442318,0.00020886973652523,0.237679705023766
88,14,0.23463699221611,0.0399999991059303,0,0,0.00091134081594646,5.26846344328646e-10,0,0.384243160486221
89,10,0.44258189201355,0.0252126753330231,0,0,0.000109821332443971,9.57301082848971e-09,0,0.227404996752739
90,4,0.0177619736641645,0.00687348935753107,0.0111432475969195,0.0479535833001137,0.033301055431366,0.235277220606804,0.101362980902195,0.201774001121521
91,7,0.330111682415009,0.0305704902857542,0.000411695044022053,0.00126234558410943,0,0,4.3633990864933e-10,0.153206527233124
92,11,0.0449449233710766,0.0217626225203276,0.0134484823793173,0.0131492922082543,0,0.0106476163491607,0,0.249014332890511
93,13,0.000105473212897778,0.000476680172141641,0.0490371100604534,0.0478899143636227,0.0680197551846504,0.20813874900341,0.0819594785571098,0.0391642041504383
94,3,0.323314964771271,0.0399999991059303,0.00676343869417906,0.000295444391667843,0.000117161100206431,0,0,0.211872652173042
95,3,0.0323101468384266,0.00157292373478413,0.012779644690454,0.0701889619231224,0.00210209004580975,0.152432203292847,0.00597769627347589,0.205689638853073
